methodology,tool_selection_accuracy,tool_precision,tool_recall,tool_f1,argument_accuracy,task_success,unnecessary_tool_call_rate,num_calls,latency_ms,p95_latency_ms,cases
rule_based,0.196,0.6173333333333333,0.4033333333333333,0.46672857142857144,0.3658366006542477,0.166,0.020666666666666667,0.864,4.512342403999355,17.655278999882285,500.0
plan_execute,0.606,0.8675666666666667,0.7756666666666666,0.8035095238095238,0.7401111009905128,0.476,0.016433333333333335,1.646,9.41471013998671,27.466440000353032,500.0
ml_router,0.882,0.9668666666666667,0.9871666666666666,0.9719380952380953,0.9504875658655071,0.68,0.033133333333333334,2.09,12.95994592999341,32.2505940002884,500.0
